,pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
23220,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,spu:588721,spu,A0A7M7PU49
23227,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,dme:Dmel_CG10688,dme,Q9VTZ6
23328,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,tca:659192,tca,D6WXJ2
23388,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,dpx:DAPPUDRAFT_299547,dpx,E9HCF1
23389,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,dpx:DAPPUDRAFT_69879,dpx,E9I3U1
23421,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,cel:CELE_F52B11.2,cel,Q9XUE6
23450,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,nve:5520113,nve,A7RKH5
23460,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,hmg:100208165,hmg,A0A8B6XQU1
23462,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,tad:TRIADDRAFT_52968,tad,B3RMY2
23463,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,aqu:100639718,aqu,A0A1X7VQ42
23464,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ath:AT2G45790,ath,O80840
23525,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mtr:11436930,mtr,G7L3I4
23665,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,osa:4337437,osa,Q7XPW5
23669,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,bdi:100829669,bdi,C8CK18
23691,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,zma:100272867,zma,B4FR89
23715,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,smo:SELMODRAFT_163852,smo,D8QQJ2
23716,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,smo:SELMODRAFT_86440,smo,D8R8D7
23731,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,sce:YFL045C,sce,P07283
23751,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ppa:PAS_chr2-2_0053,ppa,C4R306
23772,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ncr:NCU02829,ncr,Q7SCR9
23818,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ani:AN5772.2,ani,C8VFG2
23856,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,spo:SPAC1556.07,spo,Q9UTJ2
23858,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,cne:CNH00170,cne,Q5KC89
23860,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,cng:CNAG_05351,cng,J9VWB9
23885,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,scm:SCHCO_02496110,scm,D8Q3N6
23891,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,uma:UMAG_04703,uma,A0A0D1DRY5
23909,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ddi:DDB_G0272781,ddi,Q86B09
23910,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ddi:DDB_G0279289,ddi,Q54X03
23941,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,tet:TTHERM_00059380,tet,I7MDE4
23945,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,tps:THAPSDRAFT_22301,tps,B8BZK1
23949,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ehx:EMIHUDRAFT_414472,ehx,R1EQA6
23976,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mcc:703756,mcc,A0A1D5QED6
23977,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mcc:705454,mcc,F7GRF0
24020,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mmu:69080,mmu,Q922H4
24021,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mmu:331026,mmu,Q8BTZ7
24026,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,rno:501167,rno,Q5XIC1
24027,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,rno:363145,rno,A6I329
24036,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,maua:101837254,maua,A0A1U7QX71
24037,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,maua:101836703,maua,A0A1U8C0C8
24050,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,hgl:101716745,hgl,G5BZX1
24051,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,hgl:101713073,hgl,A0A0N8ETQ1
24052,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cpoc:100735495,cpoc,H0W3V6
24053,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cpoc:100732912,cpoc,H0UYM8
24074,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cfa:100856660,cfa,A0A8C0SY08
24075,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cfa:608751,cfa,A0A8C0NFS9
24097,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mpuf:101673791,mpuf,M3YPS3
24259,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,gga:769292,gga,F1NYN9
24280,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tgu:100228462,tgu,A0A674HLF9
24323,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,clv:102087589,clv,A0A2I0LW93
24407,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,acs:100560421,acs,G1KPI0
24408,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,acs:100566017,acs,G1KGR0
24446,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,xla:444472,xla,Q6DKE9
24447,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,xla:447346,xla,Q68EY9
24448,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,xla:447420,xla,Q66KG5
24449,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,xla:100037186,xla,A2VD83
24465,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dre:445097,dre,F1R683
24466,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dre:431743,dre,Q6GMK8
24467,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dre:393469,dre,Q7SXP8
24549,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,amex:103030670,amex,A0A8B9R9K8
24550,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,amex:103040139,amex,A0A8B9JM88
24618,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ola:101163000,ola,A0A3B3IKT8
24619,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ola:101154855,ola,H2N1V2
24628,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,pret:103460868,pret,A0A3P9PHF0
24629,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,pret:103464327,pret,A0A3P9QHR2
24644,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,nfu:107385090,nfu,A0A1A8B7K8
24645,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,nfu:107390223,nfu,A0A1A7ZMV5
24761,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,bfo:118409757,bfo,A0A9J7MGG7
24762,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,bfo:118416013,bfo,A0A9J7MRV8
24772,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,spu:576782,spu,A0A7M7GEW4
24782,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dme:Dmel_CG1129,dme,Q7JZB4
24783,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dme:Dmel_CG8207,dme,Q8SXU3
24981,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tca:662908,tca,D2A681
24982,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tca:656561,tca,A0A139WFJ8
25106,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dpx:DAPPUDRAFT_191301,dpx,E9FUH9
25107,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,dpx:DAPPUDRAFT_101964,dpx,E9GF00
25174,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cel:CELE_Y47D9A.1,cel,Q9N4V3
25175,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cel:CELE_C42C1.5,cel,A3QMC8
25244,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,nve:5517449,nve,A7RT58
25265,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tad:TRIADDRAFT_22620,tad,B3RS02
25266,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tad:TRIADDRAFT_33563,tad,B3SCS7
25267,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,aqu:100632904,aqu,A0A1X7VNF6
25268,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,aqu:100635097,aqu,A0A1X7VJ36
25269,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ath:AT1G74910,ath,Q9C9P3
25270,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ath:AT2G04650,ath,A0A1P8AZM7
25271,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ath:AT2G39770,ath,O22287
25272,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ath:AT3G55590,ath,Q9M2S0
25273,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ath:AT4G30570,ath,Q8H1Q7
25453,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mtr:11405162,mtr,G7KGV6
25454,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mtr:11434430,mtr,G7KJH0
25455,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,mtr:25489573,mtr,A0A072UZU5
25826,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,osa:4327472,osa,Q941T9
25827,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,osa:4332014,osa,A0A8J8YPL9
25828,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,osa:4332373,osa,Q84JH5
25829,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,osa:4345021,osa,Q6Z9A3
25841,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,bdi:100838729,bdi,I1H726
25842,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,bdi:100844922,bdi,I1H8B7
25843,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,bdi:100822211,bdi,I1HTC9
25876,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,zma:100192721,zma,B4FCE5
25877,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,zma:100274383,zma,B4G0L2
25878,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,zma:100274471,zma,B4FEP8
25879,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,zma:103651012,zma,C4JAC1
25880,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,zma:100191571,zma,B4FQP6
25962,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_168373,smo,D8R6R6
25963,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_267755,smo,D8RTK5
25964,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_104991,smo,D8RZ45
25965,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_271290,smo,D8R6R6
25966,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_182999,smo,D8SV91
25967,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,smo:SELMODRAFT_185648,smo,D8T5L0
25973,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cre:CHLRE_16g672800v5,cre,A8J3F9
25984,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,sce:YDL055C,sce,P41940
26008,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ppa:PAS_chr2-1_0093,ppa,C4QZM0
26009,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ppa:PAS_chr3_0870,ppa,C4R5U0
26041,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ncr:NCU05937,ncr,Q7S2E1
26042,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ncr:NCU06003,ncr,Q7RVR8
26121,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ani:AN1911.2,ani,C8VKT1
26122,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ani:AN5586.2,ani,Q5B1J4
26197,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,spo:SPBC13G1.02,spo,O60064
26201,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cne:CNC03020,cne,P0CO20
26202,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cne:CNG02580,cne,Q5KDW3
26203,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cnb:CNBC4190,cnb,P0CO21
26205,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cng:CNAG_03320,cng,J9VT12
26206,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,cng:CNAG_01813,cng,J9VZD5
26238,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ddi:DDB_G0271858,ddi,Q86HG0
26239,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ddi:DDB_G0287619,ddi,Q54K39
26270,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tet:TTHERM_00294800,tet,I7MDW8
26271,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,tet:TTHERM_00628710,tet,Q23RS7
26283,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ehx:EMIHUDRAFT_363030,ehx,R1DI86
26284,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ehx:EMIHUDRAFT_434761,ehx,R1EZR2
26285,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ehx:EMIHUDRAFT_354141,ehx,R1EY84
26286,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00966,ehx:EMIHUDRAFT_445627,ehx,R1E2N0
28023,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mcc:707051,mcc,F7GZ39
28045,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mmu:218138,mmu,Q8K0C9
28048,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,rno:291095,rno,F7FFK9
28084,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mpuf:101679962,mpuf,M3XMU7
28095,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,fca:101086651,fca,M3W2U5
28133,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mlf:102428664,mlf,G1P1A2
28163,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,gga:420890,gga,A0A1D5PD70
28240,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,acs:100552411,acs,H9GA74
28259,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,xla:380044,xla,Q8AVI1
28260,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,xla:444039,xla,Q6GPT8
28268,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,dre:393461,dre,Q1LVF8
28298,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,amex:103034419,amex,A0A8B9KQK9
28340,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,nfu:107393067,nfu,A0A1A8US02
28390,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,bfo:118406178,bfo,A0A9J7HM21
28391,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,bfo:118417820,bfo,A0A9J7MSM3
28392,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,bfo:118430598,bfo,A0A9J7MDZ6
28402,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,dme:Dmel_CG8890,dme,Q9VMW9
28507,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,tca:662112,tca,D6WIJ1
28575,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,dpx:DAPPUDRAFT_231678,dpx,E9HEX6
28611,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,cel:CELE_F56H6.5,cel,O45583
28612,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,cel:CELE_C53B4.7,cel,Q18801
28646,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,nve:5501231,nve,A7T0R9
28655,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,hmg:100215889,hmg,T2MIE1
28657,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,tad:TRIADDRAFT_55349,tad,B3RUM9
28658,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,tad:TRIADDRAFT_50808,tad,B3S7D6
28659,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,aqu:100634053,aqu,A0A1X7VEM0
28660,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,ath:AT3G51160,ath,P93031
28661,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,ath:AT5G66280,ath,Q9SNY3
28735,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mtr:11429397,mtr,G7JW51
28736,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,mtr:11424815,mtr,A0A072UDQ2
28859,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,bdi:100833109,bdi,I1H1S6
28886,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,zma:100282677,zma,B6TA81
28887,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,zma:103638108,zma,K7W6W9
28913,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,smo:SELMODRAFT_99252,smo,D8RQI3
28914,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,smo:SELMODRAFT_443301,smo,D8S0B9
28952,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,scm:SCHCO_02628332,scm,D8Q869
28963,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,ddi:DDB_G0284553,ddi,Q1ZXF7
28985,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,tps:THAPSDRAFT_40586,tps,B8C1P6
28991,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,ehx:EMIHUDRAFT_434640,ehx,R1F7Q3
28992,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K01711,ehx:EMIHUDRAFT_310372,ehx,R1CH74
32945,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,mcc:698005,mcc,F7FLX2
32968,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,mmu:22122,mmu,P23591
32971,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,rno:300036,rno,B0BNN0
32976,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,maua:101835210,maua,A0A1U8CMB8
33006,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,mpuf:101681922,mpuf,M3YA24
33016,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,fca:101099433,fca,M3VVW7
33055,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,mlf:102434169,mlf,G1PBK3
33122,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,clv:102087495,clv,A0A2I0LG68
33175,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,acs:100566638,acs,H9G5J5
33202,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,dre:445134,dre,Q6DC41
33203,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,dre:494077,dre,Q5SPD5
33279,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,amex:103029333,amex,A0A8T2KTA7
33280,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,amex:103029654,amex,A0A8T2KWQ9
33281,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,amex:103038071,amex,A0A3B1JP15
33351,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,ola:101160059,ola,H2MAW6
33364,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,nfu:107393033,nfu,A0A9D2XJH0
33469,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,bfo:118406762,bfo,A0A9J7HNN2
33470,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,bfo:118411643,bfo,A0A9J7KUC6
33471,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,bfo:118412020,bfo,A0A9J7KTW2
33475,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,cin:100180068,cin,F7ASN6
33483,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,dme:Dmel_CG3495,dme,Q9W1X8
33584,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,tca:655452,tca,D2A3S2
33646,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,dpx:DAPPUDRAFT_190546,dpx,E9FSV8
33683,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,cel:CELE_R01H2.5,cel,G5EER4
33728,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,hmg:100197574,hmg,A0A8B7D6A9
33730,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,tad:TRIADDRAFT_14880,tad,B3RSB0
33731,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,aqu:100634695,aqu,A0A1X7UH81
33732,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,ath:AT1G17890,ath,Q9LMU0
33733,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,ath:AT1G73250,ath,O49213
33784,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,mtr:11442032,mtr,G7KRU3
33884,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,osa:4341698,osa,Q67WR5
33885,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,osa:4341699,osa,Q67WR2
33892,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,bdi:100839279,bdi,I1GVL8
33908,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,zma:100283867,zma,B6TMJ8
33937,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,smo:SELMODRAFT_101073,smo,D8RTJ9
33938,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,smo:SELMODRAFT_132459,smo,D8T5L5
33966,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,scm:SCHCO_02628322,scm,D8Q871
33976,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,ddi:DDB_G0270184,ddi,Q55C77
33997,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,tps:THAPSDRAFT_26470,tps,B8CFU3
34002,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K02377,ehx:EMIHUDRAFT_206625,ehx,R1ENR4
36739,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,mcc:100533986,mcc,A0A5F8ACT2
36761,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,mmu:75540,mmu,G5E8F4
36769,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,maua:101838696,maua,A0A1U7R8R2
36777,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,cpoc:100718633,cpoc,H0V7X2
36788,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,cfa:100533995,cfa,A0A8P0ST33
36799,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,mpuf:106003372,mpuf,M3YHZ4
36809,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,fca:101085816,fca,A0A337S173
36959,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,acs:103279374,acs,H9GU62
36979,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,xla:100189576,xla,A0A1L8GIC1
36987,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,dre:553792,dre,F1QSV4
37008,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,amex:103031681,amex,A0A8B9GUT4
37039,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,ola:101161043,ola,A0A3B3I2Q8
37044,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,pret:103463603,pret,A0A3P9NZF0
37052,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,nfu:107393247,nfu,A0A1A7Z8H8
37100,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,bfo:118419618,bfo,A0A9J7LGV6
37104,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,spu:757180,spu,A0A7M7G189
37110,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,dpx:DAPPUDRAFT_309524,dpx,E9FRR0
37135,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,cel:CELE_K03H1.13,cel,Q0PDK5
37168,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,hmg:100207743,hmg,T2MIP6
37170,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,tad:TRIADDRAFT_24800,tad,B3RXN8
37174,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K00976,ddi:DDB_G0285257,ddi,Q54NH4
37207,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,mmu:234730,mmu,Q7TMC8
37210,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,rno:307848,rno,A6IZ73
37222,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,hgl:101722039,hgl,G5C1P8
37245,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,mpuf:101676203,mpuf,M3YFS5
37294,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,mlf:102422485,mlf,G1P9G7
37410,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,xla:100137687,xla,A9UMM9
37418,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,dre:100150934,dre,A0A8M3B6Y7
37450,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,amex:103035161,amex,A0A8B9JPN7
37474,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K05305,ola:101172159,ola,H2MH76
