pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ppa:PAS_chr2-2_0053,ppa,C4R306
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ncr:NCU02829,ncr,Q7SCR9
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ani:AN5772.2,ani,C8VFG2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,spo:SPAC1556.07,spo,Q9UTJ2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,cne:CNH00170,cne,Q5KC89
,Fructose and mannose metabolism - Homo sapiens (human),K17497,cng:CNAG_05351,cng,J9VWB9
,Fructose and mannose metabolism - Homo sapiens (human),K17497,scm:SCHCO_02496110,scm,D8Q3N6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,uma:UMAG_04703,uma,A0A0D1DRY5
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ddi:DDB_G0272781,ddi,Q86B09
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ddi:DDB_G0279289,ddi,Q54X03
,Fructose and mannose metabolism - Homo sapiens (human),K17497,tet:TTHERM_00059380,tet,I7MDE4
,Fructose and mannose metabolism - Homo sapiens (human),K17497,tps:THAPSDRAFT_22301,tps,B8BZK1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ehx:EMIHUDRAFT_414472,ehx,R1EQA6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mcc:703756,mcc,A0A1D5QED6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mcc:705454,mcc,F7GRF0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mmu:69080,mmu,Q922H4
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mmu:331026,mmu,Q8BTZ7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,rno:501167,rno,Q5XIC1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,rno:363145,rno,A6I329
,Fructose and mannose metabolism - Homo sapiens (human),K00966,maua:101837254,maua,A0A1U7QX71
,Fructose and mannose metabolism - Homo sapiens (human),K00966,maua:101836703,maua,A0A1U8C0C8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,hgl:101716745,hgl,G5BZX1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,hgl:101713073,hgl,A0A0N8ETQ1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cpoc:100735495,cpoc,H0W3V6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cpoc:100732912,cpoc,H0UYM8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cfa:100856660,cfa,A0A8C0SY08
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cfa:608751,cfa,A0A8C0NFS9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mpuf:101673791,mpuf,M3YPS3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,gga:769292,gga,F1NYN9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tgu:100228462,tgu,A0A674HLF9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,clv:102087589,clv,A0A2I0LW93
,Fructose and mannose metabolism - Homo sapiens (human),K00966,acs:100560421,acs,G1KPI0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,acs:100566017,acs,G1KGR0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,xla:444472,xla,Q6DKE9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,xla:447346,xla,Q68EY9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,xla:447420,xla,Q66KG5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,xla:100037186,xla,A2VD83
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dre:445097,dre,F1R683
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dre:431743,dre,Q6GMK8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dre:393469,dre,Q7SXP8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,amex:103030670,amex,A0A8B9R9K8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,amex:103040139,amex,A0A8B9JM88
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ola:101163000,ola,A0A3B3IKT8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ola:101154855,ola,H2N1V2
,Fructose and mannose metabolism - Homo sapiens (human),K00966,pret:103460868,pret,A0A3P9PHF0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,pret:103464327,pret,A0A3P9QHR2
,Fructose and mannose metabolism - Homo sapiens (human),K00966,nfu:107385090,nfu,A0A1A8B7K8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,nfu:107390223,nfu,A0A1A7ZMV5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,bfo:118409757,bfo,A0A9J7MGG7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,bfo:118416013,bfo,A0A9J7MRV8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,spu:576782,spu,A0A7M7GEW4
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dme:Dmel_CG1129,dme,Q7JZB4
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dme:Dmel_CG8207,dme,Q8SXU3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tca:662908,tca,D2A681
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tca:656561,tca,A0A139WFJ8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dpx:DAPPUDRAFT_191301,dpx,E9FUH9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,dpx:DAPPUDRAFT_101964,dpx,E9GF00
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cel:CELE_Y47D9A.1,cel,Q9N4V3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cel:CELE_C42C1.5,cel,A3QMC8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,nve:5517449,nve,A7RT58
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tad:TRIADDRAFT_22620,tad,B3RS02
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tad:TRIADDRAFT_33563,tad,B3SCS7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,aqu:100632904,aqu,A0A1X7VNF6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,aqu:100635097,aqu,A0A1X7VJ36
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ath:AT1G74910,ath,Q9C9P3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ath:AT2G04650,ath,A0A1P8AZM7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ath:AT2G39770,ath,O22287
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ath:AT3G55590,ath,Q9M2S0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ath:AT4G30570,ath,Q8H1Q7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mtr:11405162,mtr,G7KGV6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mtr:11434430,mtr,G7KJH0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,mtr:25489573,mtr,A0A072UZU5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,osa:4327472,osa,Q941T9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,osa:4332014,osa,A0A8J8YPL9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,osa:4332373,osa,Q84JH5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,osa:4345021,osa,Q6Z9A3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,bdi:100838729,bdi,I1H726
,Fructose and mannose metabolism - Homo sapiens (human),K00966,bdi:100844922,bdi,I1H8B7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,bdi:100822211,bdi,I1HTC9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,zma:100192721,zma,B4FCE5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,zma:100274383,zma,B4G0L2
,Fructose and mannose metabolism - Homo sapiens (human),K00966,zma:100274471,zma,B4FEP8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,zma:103651012,zma,C4JAC1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,zma:100191571,zma,B4FQP6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_168373,smo,D8R6R6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_267755,smo,D8RTK5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_104991,smo,D8RZ45
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_271290,smo,D8R6R6
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_182999,smo,D8SV91
,Fructose and mannose metabolism - Homo sapiens (human),K00966,smo:SELMODRAFT_185648,smo,D8T5L0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cre:CHLRE_16g672800v5,cre,A8J3F9
,Fructose and mannose metabolism - Homo sapiens (human),K00966,sce:YDL055C,sce,P41940
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ppa:PAS_chr2-1_0093,ppa,C4QZM0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ppa:PAS_chr3_0870,ppa,C4R5U0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ncr:NCU05937,ncr,Q7S2E1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ncr:NCU06003,ncr,Q7RVR8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ani:AN1911.2,ani,C8VKT1
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ani:AN5586.2,ani,Q5B1J4
,Fructose and mannose metabolism - Homo sapiens (human),K00966,spo:SPBC13G1.02,spo,O60064
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cne:CNC03020,cne,P0CO20
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cne:CNG02580,cne,Q5KDW3
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cnb:CNBC4190,cnb,P0CO21
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cng:CNAG_03320,cng,J9VT12
,Fructose and mannose metabolism - Homo sapiens (human),K00966,cng:CNAG_01813,cng,J9VZD5
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ddi:DDB_G0271858,ddi,Q86HG0
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ddi:DDB_G0287619,ddi,Q54K39
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tet:TTHERM_00294800,tet,I7MDW8
,Fructose and mannose metabolism - Homo sapiens (human),K00966,tet:TTHERM_00628710,tet,Q23RS7
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ehx:EMIHUDRAFT_363030,ehx,R1DI86
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ehx:EMIHUDRAFT_434761,ehx,R1EZR2
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ehx:EMIHUDRAFT_354141,ehx,R1EY84
,Fructose and mannose metabolism - Homo sapiens (human),K00966,ehx:EMIHUDRAFT_445627,ehx,R1E2N0
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mcc:707051,mcc,F7GZ39
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mmu:218138,mmu,Q8K0C9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,rno:291095,rno,F7FFK9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mpuf:101679962,mpuf,M3XMU7
,Fructose and mannose metabolism - Homo sapiens (human),K01711,fca:101086651,fca,M3W2U5
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mlf:102428664,mlf,G1P1A2
,Fructose and mannose metabolism - Homo sapiens (human),K01711,gga:420890,gga,A0A1D5PD70
,Fructose and mannose metabolism - Homo sapiens (human),K01711,acs:100552411,acs,H9GA74
,Fructose and mannose metabolism - Homo sapiens (human),K01711,xla:380044,xla,Q8AVI1
,Fructose and mannose metabolism - Homo sapiens (human),K01711,xla:444039,xla,Q6GPT8
,Fructose and mannose metabolism - Homo sapiens (human),K01711,dre:393461,dre,Q1LVF8
,Fructose and mannose metabolism - Homo sapiens (human),K01711,amex:103034419,amex,A0A8B9KQK9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,nfu:107393067,nfu,A0A1A8US02
,Fructose and mannose metabolism - Homo sapiens (human),K01711,bfo:118406178,bfo,A0A9J7HM21
,Fructose and mannose metabolism - Homo sapiens (human),K01711,bfo:118417820,bfo,A0A9J7MSM3
,Fructose and mannose metabolism - Homo sapiens (human),K01711,bfo:118430598,bfo,A0A9J7MDZ6
,Fructose and mannose metabolism - Homo sapiens (human),K01711,dme:Dmel_CG8890,dme,Q9VMW9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,tca:662112,tca,D6WIJ1
,Fructose and mannose metabolism - Homo sapiens (human),K01711,dpx:DAPPUDRAFT_231678,dpx,E9HEX6
,Fructose and mannose metabolism - Homo sapiens (human),K01711,cel:CELE_F56H6.5,cel,O45583
,Fructose and mannose metabolism - Homo sapiens (human),K01711,cel:CELE_C53B4.7,cel,Q18801
,Fructose and mannose metabolism - Homo sapiens (human),K01711,nve:5501231,nve,A7T0R9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,hmg:100215889,hmg,T2MIE1
,Fructose and mannose metabolism - Homo sapiens (human),K01711,tad:TRIADDRAFT_55349,tad,B3RUM9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,tad:TRIADDRAFT_50808,tad,B3S7D6
,Fructose and mannose metabolism - Homo sapiens (human),K01711,aqu:100634053,aqu,A0A1X7VEM0
,Fructose and mannose metabolism - Homo sapiens (human),K01711,ath:AT3G51160,ath,P93031
,Fructose and mannose metabolism - Homo sapiens (human),K01711,ath:AT5G66280,ath,Q9SNY3
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mtr:11429397,mtr,G7JW51
,Fructose and mannose metabolism - Homo sapiens (human),K01711,mtr:11424815,mtr,A0A072UDQ2
,Fructose and mannose metabolism - Homo sapiens (human),K01711,bdi:100833109,bdi,I1H1S6
,Fructose and mannose metabolism - Homo sapiens (human),K01711,zma:100282677,zma,B6TA81
,Fructose and mannose metabolism - Homo sapiens (human),K01711,zma:103638108,zma,K7W6W9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,smo:SELMODRAFT_99252,smo,D8RQI3
,Fructose and mannose metabolism - Homo sapiens (human),K01711,smo:SELMODRAFT_443301,smo,D8S0B9
,Fructose and mannose metabolism - Homo sapiens (human),K01711,scm:SCHCO_02628332,scm,D8Q869
,Fructose and mannose metabolism - Homo sapiens (human),K01711,ddi:DDB_G0284553,ddi,Q1ZXF7
,Fructose and mannose metabolism - Homo sapiens (human),K01711,tps:THAPSDRAFT_40586,tps,B8C1P6
,Fructose and mannose metabolism - Homo sapiens (human),K01711,ehx:EMIHUDRAFT_434640,ehx,R1F7Q3
,Fructose and mannose metabolism - Homo sapiens (human),K01711,ehx:EMIHUDRAFT_310372,ehx,R1CH74
,Fructose and mannose metabolism - Homo sapiens (human),K02377,mcc:698005,mcc,F7FLX2
,Fructose and mannose metabolism - Homo sapiens (human),K02377,mmu:22122,mmu,P23591
,Fructose and mannose metabolism - Homo sapiens (human),K02377,rno:300036,rno,B0BNN0
,Fructose and mannose metabolism - Homo sapiens (human),K02377,maua:101835210,maua,A0A1U8CMB8
,Fructose and mannose metabolism - Homo sapiens (human),K02377,mpuf:101681922,mpuf,M3YA24
,Fructose and mannose metabolism - Homo sapiens (human),K02377,fca:101099433,fca,M3VVW7
,Fructose and mannose metabolism - Homo sapiens (human),K02377,mlf:102434169,mlf,G1PBK3
,Fructose and mannose metabolism - Homo sapiens (human),K02377,clv:102087495,clv,A0A2I0LG68
,Fructose and mannose metabolism - Homo sapiens (human),K02377,acs:100566638,acs,H9G5J5
,Fructose and mannose metabolism - Homo sapiens (human),K02377,dre:445134,dre,Q6DC41
,Fructose and mannose metabolism - Homo sapiens (human),K02377,dre:494077,dre,Q5SPD5
,Fructose and mannose metabolism - Homo sapiens (human),K02377,amex:103029333,amex,A0A8T2KTA7
,Fructose and mannose metabolism - Homo sapiens (human),K02377,amex:103029654,amex,A0A8T2KWQ9
,Fructose and mannose metabolism - Homo sapiens (human),K02377,amex:103038071,amex,A0A3B1JP15
,Fructose and mannose metabolism - Homo sapiens (human),K02377,ola:101160059,ola,H2MAW6
,Fructose and mannose metabolism - Homo sapiens (human),K02377,nfu:107393033,nfu,A0A9D2XJH0
,Fructose and mannose metabolism - Homo sapiens (human),K02377,bfo:118406762,bfo,A0A9J7HNN2
,Fructose and mannose metabolism - Homo sapiens (human),K02377,bfo:118411643,bfo,A0A9J7KUC6
,Fructose and mannose metabolism - Homo sapiens (human),K02377,bfo:118412020,bfo,A0A9J7KTW2
,Fructose and mannose metabolism - Homo sapiens (human),K02377,cin:100180068,cin,F7ASN6
,Fructose and mannose metabolism - Homo sapiens (human),K02377,dme:Dmel_CG3495,dme,Q9W1X8
,Fructose and mannose metabolism - Homo sapiens (human),K02377,tca:655452,tca,D2A3S2
,Fructose and mannose metabolism - Homo sapiens (human),K02377,dpx:DAPPUDRAFT_190546,dpx,E9FSV8
,Fructose and mannose metabolism - Homo sapiens (human),K02377,cel:CELE_R01H2.5,cel,G5EER4
,Fructose and mannose metabolism - Homo sapiens (human),K02377,hmg:100197574,hmg,A0A8B7D6A9
,Fructose and mannose metabolism - Homo sapiens (human),K02377,tad:TRIADDRAFT_14880,tad,B3RSB0
,Fructose and mannose metabolism - Homo sapiens (human),K02377,aqu:100634695,aqu,A0A1X7UH81
,Fructose and mannose metabolism - Homo sapiens (human),K02377,ath:AT1G17890,ath,Q9LMU0
,Fructose and mannose metabolism - Homo sapiens (human),K02377,ath:AT1G73250,ath,O49213
,Fructose and mannose metabolism - Homo sapiens (human),K02377,mtr:11442032,mtr,G7KRU3
,Fructose and mannose metabolism - Homo sapiens (human),K02377,osa:4341698,osa,Q67WR5
,Fructose and mannose metabolism - Homo sapiens (human),K02377,osa:4341699,osa,Q67WR2
,Fructose and mannose metabolism - Homo sapiens (human),K02377,bdi:100839279,bdi,I1GVL8
,Fructose and mannose metabolism - Homo sapiens (human),K02377,zma:100283867,zma,B6TMJ8
,Fructose and mannose metabolism - Homo sapiens (human),K02377,smo:SELMODRAFT_101073,smo,D8RTJ9
,Fructose and mannose metabolism - Homo sapiens (human),K02377,smo:SELMODRAFT_132459,smo,D8T5L5
,Fructose and mannose metabolism - Homo sapiens (human),K02377,scm:SCHCO_02628322,scm,D8Q871
,Fructose and mannose metabolism - Homo sapiens (human),K02377,ddi:DDB_G0270184,ddi,Q55C77
,Fructose and mannose metabolism - Homo sapiens (human),K02377,tps:THAPSDRAFT_26470,tps,B8CFU3
,Fructose and mannose metabolism - Homo sapiens (human),K02377,ehx:EMIHUDRAFT_206625,ehx,R1ENR4
,Fructose and mannose metabolism - Homo sapiens (human),K00976,mcc:100533986,mcc,A0A5F8ACT2
,Fructose and mannose metabolism - Homo sapiens (human),K00976,mmu:75540,mmu,G5E8F4
,Fructose and mannose metabolism - Homo sapiens (human),K00976,maua:101838696,maua,A0A1U7R8R2
,Fructose and mannose metabolism - Homo sapiens (human),K00976,cpoc:100718633,cpoc,H0V7X2
,Fructose and mannose metabolism - Homo sapiens (human),K00976,cfa:100533995,cfa,A0A8P0ST33
,Fructose and mannose metabolism - Homo sapiens (human),K00976,mpuf:106003372,mpuf,M3YHZ4
,Fructose and mannose metabolism - Homo sapiens (human),K00976,fca:101085816,fca,A0A337S173
,Fructose and mannose metabolism - Homo sapiens (human),K00976,acs:103279374,acs,H9GU62
,Fructose and mannose metabolism - Homo sapiens (human),K00976,xla:100189576,xla,A0A1L8GIC1
,Fructose and mannose metabolism - Homo sapiens (human),K00976,dre:553792,dre,F1QSV4
,Fructose and mannose metabolism - Homo sapiens (human),K00976,amex:103031681,amex,A0A8B9GUT4
,Fructose and mannose metabolism - Homo sapiens (human),K00976,ola:101161043,ola,A0A3B3I2Q8
,Fructose and mannose metabolism - Homo sapiens (human),K00976,pret:103463603,pret,A0A3P9NZF0
,Fructose and mannose metabolism - Homo sapiens (human),K00976,nfu:107393247,nfu,A0A1A7Z8H8
,Fructose and mannose metabolism - Homo sapiens (human),K00976,bfo:118419618,bfo,A0A9J7LGV6
,Fructose and mannose metabolism - Homo sapiens (human),K00976,spu:757180,spu,A0A7M7G189
,Fructose and mannose metabolism - Homo sapiens (human),K00976,dpx:DAPPUDRAFT_309524,dpx,E9FRR0
,Fructose and mannose metabolism - Homo sapiens (human),K00976,cel:CELE_K03H1.13,cel,Q0PDK5
,Fructose and mannose metabolism - Homo sapiens (human),K00976,hmg:100207743,hmg,T2MIP6
,Fructose and mannose metabolism - Homo sapiens (human),K00976,tad:TRIADDRAFT_24800,tad,B3RXN8
,Fructose and mannose metabolism - Homo sapiens (human),K00976,ddi:DDB_G0285257,ddi,Q54NH4
,Fructose and mannose metabolism - Homo sapiens (human),K05305,mmu:234730,mmu,Q7TMC8
,Fructose and mannose metabolism - Homo sapiens (human),K05305,rno:307848,rno,A6IZ73
,Fructose and mannose metabolism - Homo sapiens (human),K05305,hgl:101722039,hgl,G5C1P8
,Fructose and mannose metabolism - Homo sapiens (human),K05305,mpuf:101676203,mpuf,M3YFS5
,Fructose and mannose metabolism - Homo sapiens (human),K05305,mlf:102422485,mlf,G1P9G7
,Fructose and mannose metabolism - Homo sapiens (human),K05305,xla:100137687,xla,A9UMM9
,Fructose and mannose metabolism - Homo sapiens (human),K05305,dre:100150934,dre,A0A8M3B6Y7
,Fructose and mannose metabolism - Homo sapiens (human),K05305,amex:103035161,amex,A0A8B9JPN7
,Fructose and mannose metabolism - Homo sapiens (human),K05305,ola:101172159,ola,H2MH76
,Fructose and mannose metabolism - Homo sapiens (human),K05305,nfu:107389126,nfu,A0A1A8VFK6
,Fructose and mannose metabolism - Homo sapiens (human),K05305,bfo:118418081,bfo,A0A9J7MUV5
,Fructose and mannose metabolism - Homo sapiens (human),K05305,dpx:DAPPUDRAFT_202910,dpx,E9HG26
,Fructose and mannose metabolism - Homo sapiens (human),K05305,tad:TRIADDRAFT_55544,tad,B3RV67
,Fructose and mannose metabolism - Homo sapiens (human),K05305,tad:TRIADDRAFT_55543,tad,B3RV66
,Fructose and mannose metabolism - Homo sapiens (human),K05305,ddi:DDB_G0269678,ddi,Q55DE9
,Fructose and mannose metabolism - Homo sapiens (human),K05305,tps:THAPSDRAFT_11189,tps,B8LDB3
,Fructose and mannose metabolism - Homo sapiens (human),K05305,ehx:EMIHUDRAFT_453358,ehx,R1BCB7
,Fructose and mannose metabolism - Homo sapiens (human),K18334,hgl:101721621,hgl,A0A0P6J967
,Fructose and mannose metabolism - Homo sapiens (human),K18334,cpoc:100720806,cpoc,H0VTN9
,Fructose and mannose metabolism - Homo sapiens (human),K18334,mpuf:101692965,mpuf,M3Y217
,Fructose and mannose metabolism - Homo sapiens (human),K18334,mlf:102440845,mlf,G1PE38
,Fructose and mannose metabolism - Homo sapiens (human),K18334,acs:100559256,acs,G1KHZ4
,Fructose and mannose metabolism - Homo sapiens (human),K18334,xla:432136,xla,Q6INX4
,Fructose and mannose metabolism - Homo sapiens (human),K18334,dre:558186,dre,F1Q510
,Fructose and mannose metabolism - Homo sapiens (human),K18334,nfu:107382513,nfu,A0A9D2Y3R6
,Fructose and mannose metabolism - Homo sapiens (human),K18334,bfo:118428383,bfo,A0A9J7M3Z0
,Fructose and mannose metabolism - Homo sapiens (human),K18334,nve:5522234,nve,A7RF96
,Fructose and mannose metabolism - Homo sapiens (human),K18334,aqu:100636591,aqu,A0A1X7U3G6
,Fructose and mannose metabolism - Homo sapiens (human),K18334,aqu:100636465,aqu,A0A1X7U436
,Fructose and mannose metabolism - Homo sapiens (human),K18334,cne:CNB01020,cne,Q5KMP0
,Fructose and mannose metabolism - Homo sapiens (human),K18334,cng:CNAG_03599,cng,J9VFH5
,Fructose and mannose metabolism - Homo sapiens (human),K18334,scm:SCHCO_02513503,scm,D8QE33
,Fructose and mannose metabolism - Homo sapiens (human),K18334,uma:UMAG_02115,uma,A0A0D1E5G1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mcc:698120,mcc,G7MU33
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mcc:711995,mcc,F7HAC6
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mcc:710479,mcc,A0A8J8Y0W5
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mmu:212032,mmu,Q3TRM8
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mmu:216019,mmu,Q91W97
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mmu:15275,mmu,Q6GQU1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mmu:15277,mmu,O08528
,Fructose and mannose metabolism - Homo sapiens (human),K00844,rno:25058,rno,P05708
,Fructose and mannose metabolism - Homo sapiens (human),K00844,rno:25059,rno,P27881
,Fructose and mannose metabolism - Homo sapiens (human),K00844,rno:25060,rno,P27926
,Fructose and mannose metabolism - Homo sapiens (human),K00844,maua:101839911,maua,A0A1U7QCE3
,Fructose and mannose metabolism - Homo sapiens (human),K00844,maua:101831511,maua,A0A1U7R2U6
,Fructose and mannose metabolism - Homo sapiens (human),K00844,maua:101825158,maua,A0A1U7QPV8
,Fructose and mannose metabolism - Homo sapiens (human),K00844,hgl:101722401,hgl,G5AXE1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,hgl:101709130,hgl,A0A0P6J9E7
,Fructose and mannose metabolism - Homo sapiens (human),K00844,cpoc:100732658,cpoc,H0VE10
,Fructose and mannose metabolism - Homo sapiens (human),K00844,cpoc:100729828,cpoc,A0A286XND5
,Fructose and mannose metabolism - Homo sapiens (human),K00844,cpoc:100730936,cpoc,A0A286Y453
,Fructose and mannose metabolism - Homo sapiens (human),K00844,cfa:479234,cfa,A0A8C0NKA4
,Fructose and mannose metabolism - Homo sapiens (human),K00844,cfa:489019,cfa,A0A8C0NLX0
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mpuf:101685139,mpuf,M3YAC2
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mpuf:101672779,mpuf,A0A8U0T3C5
,Fructose and mannose metabolism - Homo sapiens (human),K00844,fca:101089344,fca,M3W529
,Fructose and mannose metabolism - Homo sapiens (human),K00844,fca:101094295,fca,M3W345
,Fructose and mannose metabolism - Homo sapiens (human),K00844,fca:101098403,fca,A0A2I2UHA4
,Fructose and mannose metabolism - Homo sapiens (human),K00844,mlf:102426995,mlf,G1PL33
,Fructose and mannose metabolism - Homo sapiens (human),K00844,gga:373889,gga,Q8AYP8
,Fructose and mannose metabolism - Homo sapiens (human),K00844,gga:374044,gga,Q8AYP7
,Fructose and mannose metabolism - Homo sapiens (human),K00844,clv:102088765,clv,A0A2I0MFB9
,Fructose and mannose metabolism - Homo sapiens (human),K00844,acs:100566564,acs,H9GFG3
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:100036846,xla,A1L2H2
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:394323,xla,Q6GQB4
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108696205,xla,A0A1L8FJQ1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108697444,xla,A0A1L8FER1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108711534,xla,A0A1L8H1E1
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108712774,xla,A0A1L8GS61
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108713229,xla,A0A1L8GUZ3
,Fructose and mannose metabolism - Homo sapiens (human),K00844,xla:108710242,xla,A0A8J1MK71
,Fructose and mannose metabolism - Homo sapiens (human),K00844,dre:321224,dre,B8A5H6
,Fructose and mannose metabolism - Homo sapiens (human),K00844,dre:406791,dre,Q7ZUM3
